,75,45,62,55,16,35,60,70,65,30,22,25,20
32193,,54.0,,,,,,,,,,,
32271,,54.0,,,,,,,,,,,
32396,,5431.0,,,,,,,,,,,
32400,,54.0,,,,,,,,,,,
32586,,103.0,,,,,,,,,,,
32607,,135.0,,,,,,,,,,,
32671,,19.0,,,,,,,,,,,
32788,,3480.0,,,,,,,,,,,
32969,,135.0,,,,,,,,,,,
33021,,54.0,,,,,,,,,,,
33158,,654.0,,,,,,,,,,,
33437,,54.0,,,,,,,,,,,
33686,,7514.0,,,,,,,,,,,
33902,,135.0,,,,,,,,,,,
33972,,135.0,,,,,,,,,,,
34029,,54.0,,,,,,,,,,,
34034,,2893.0,,,,,,,,,,,
34101,,135.0,,,,,,,,,,,
34140,,54.0,,,,,,,,,,,
34159,,54.0,,,,,,,,,,,
34292,,54.0,,,,,,,,,,,
34408,,3480.0,,,,,,,,,,,
34517,,304.0,,,,,,,,,,,
34787,,54.0,,,,,,,,,,,
35043,,54.0,,,,,,,,,,,
35666,,54.0,,,,,,,,,,,
36154,,54.0,,,,,,,,,,,
36227,,3413.0,,,,,,,,,,,
36322,,135.0,,,,,,,,,,,
36351,,62913.0,,,,,,,,,,,
36570,,54.0,,,,,,,,,,,
36624,,135.0,,,,,,,,,,,
36635,,135.0,,,,,,,,,,,
36684,,54.0,,,,,,,,,,,
36735,,1342.0,,,,,,,,,,,
36933,,54.0,,,,,,,,,,,
37116,,135.0,,,,,,,,,,,
37407,,9234.0,,,,,,,,,,,
37498,,135.0,,,,,,,,,,,
37670,,54.0,,,,,,,,,,,
37689,,54.0,,,,,,,,,,,
37690,,6378.0,,,,,,,,,,,
37742,,304.0,,,,,,,,,,,
37796,,54.0,,,,,,,,,,,
38050,,54.0,,,,,,,,,,,
38214,,54.0,,,,,,,,,,,
38215,,135.0,,,,,,,,,,,
38288,,2739.0,,,,,,,,,,,
38396,,54.0,,,,,,,,,,,
38487,,135.0,,,,,,,,,,,
38763,,54.0,,,,,,,,,,,
38809,,103.0,,,,,,,,,,,
38854,,54.0,,,,,,,,,,,
38862,,54.0,,,,,,,,,,,
38863,,4527.0,,,,,,,,,,,
38976,,54.0,,,,,,,,,,,
39034,,135.0,,,,,,,,,,,
39135,,135.0,,,,,,,,,,,
39748,,54.0,,,,,,,,,,,
40087,,54.0,,,,,,,,,,,
40275,,17460.0,,,,,,,,,,,
40283,,54.0,,,,,,,,,,,
41098,,3249.0,,,,,,,,,,,
41115,,465.0,,,,,,,,,,,
41260,,103.0,,,,,,,,,,,
41270,,1552.0,,,,,,,,,,,
41331,,54.0,,,,,,,,,,,
41441,,135.0,,,,,,,,,,,
41476,,2739.0,,,,,,,,,,,
