,35,25,65,62,30,55,45,22,60,75,70,16,20
36923,569.0,,,,,,,,,,,,
36947,12286.0,,,,,,,,,,,,
36973,184.0,,,,,,,,,,,,
37214,230.0,,,,,,,,,,,,
37242,23716.0,,,,,,,,,,,,
37366,184.0,,,,,,,,,,,,
37516,837.0,,,,,,,,,,,,
37889,569.0,,,,,,,,,,,,
38109,837.0,,,,,,,,,,,,
38166,303.0,,,,,,,,,,,,
38203,837.0,,,,,,,,,,,,
38362,837.0,,,,,,,,,,,,
38436,603.0,,,,,,,,,,,,
38447,9233.0,,,,,,,,,,,,
38559,3355.0,,,,,,,,,,,,
38812,2847.0,,,,,,,,,,,,
38891,30115.0,,,,,,,,,,,,
38894,166.0,,,,,,,,,,,,
38899,837.0,,,,,,,,,,,,
39004,4762.0,,,,,,,,,,,,
39057,837.0,,,,,,,,,,,,
39083,45832.0,,,,,,,,,,,,
39262,569.0,,,,,,,,,,,,
39289,1531.0,,,,,,,,,,,,
39293,184.0,,,,,,,,,,,,
39359,770.0,,,,,,,,,,,,
39431,184.0,,,,,,,,,,,,
39492,375.0,,,,,,,,,,,,
39644,1153.0,,,,,,,,,,,,
39664,837.0,,,,,,,,,,,,
39672,184.0,,,,,,,,,,,,
39731,837.0,,,,,,,,,,,,
40027,375.0,,,,,,,,,,,,
40075,184.0,,,,,,,,,,,,
40271,837.0,,,,,,,,,,,,
40506,569.0,,,,,,,,,,,,
40539,9233.0,,,,,,,,,,,,
40598,2164.0,,,,,,,,,,,,
40699,658.0,,,,,,,,,,,,
40713,13005.0,,,,,,,,,,,,
40836,1531.0,,,,,,,,,,,,
40954,837.0,,,,,,,,,,,,
41197,1531.0,,,,,,,,,,,,
41284,184.0,,,,,,,,,,,,
41587,837.0,,,,,,,,,,,,
41650,3328.0,,,,,,,,,,,,
41735,184.0,,,,,,,,,,,,
41752,1531.0,,,,,,,,,,,,
41789,303.0,,,,,,,,,,,,
41891,569.0,,,,,,,,,,,,
42251,27733.0,,,,,,,,,,,,
42373,184.0,,,,,,,,,,,,
42494,837.0,,,,,,,,,,,,
42560,375.0,,,,,,,,,,,,
42861,2847.0,,,,,,,,,,,,
42896,10860.0,,,,,,,,,,,,
42928,375.0,,,,,,,,,,,,
43161,184.0,,,,,,,,,,,,
43177,9561.0,,,,,,,,,,,,
43244,184.0,,,,,,,,,,,,
43299,184.0,,,,,,,,,,,,
43392,2732.0,,,,,,,,,,,,
43453,1531.0,,,,,,,,,,,,
43508,32017.0,,,,,,,,,,,,
43569,3355.0,,,,,,,,,,,,
43675,437.0,,,,,,,,,,,,
43697,44533.0,,,,,,,,,,,,
43724,2847.0,,,,,,,,,,,,
43816,837.0,,,,,,,,,,,,
43894,9233.0,,,,,,,,,,,,
43895,5700.0,,,,,,,,,,,,
43960,76261.0,,,,,,,,,,,,
44087,5785.0,,,,,,,,,,,,
44576,8902.0,,,,,,,,,,,,
44730,6786.0,,,,,,,,,,,,
44769,2847.0,,,,,,,,,,,,
44840,2847.0,,,,,,,,,,,,
44893,3716.0,,,,,,,,,,,,
44919,1531.0,,,,,,,,,,,,
45175,184.0,,,,,,,,,,,,
45224,1531.0,,,,,,,,,,,,
45260,837.0,,,,,,,,,,,,
45273,837.0,,,,,,,,,,,,
45431,184.0,,,,,,,,,,,,
45621,4762.0,,,,,,,,,,,,
45665,184.0,,,,,,,,,,,,
45807,2732.0,,,,,,,,,,,,
45826,658.0,,,,,,,,,,,,
46091,437.0,,,,,,,,,,,,
46127,5785.0,,,,,,,,,,,,
46128,19570.0,,,,,,,,,,,,
46154,2847.0,,,,,,,,,,,,
46252,837.0,,,,,,,,,,,,
46346,9561.0,,,,,,,,,,,,
46395,837.0,,,,,,,,,,,,
46427,184.0,,,,,,,,,,,,
46431,5700.0,,,,,,,,,,,,
46469,569.0,,,,,,,,,,,,
46577,569.0,,,,,,,,,,,,
46859,184.0,,,,,,,,,,,,
47052,569.0,,,,,,,,,,,,
47299,2732.0,,,,,,,,,,,,
47350,837.0,,,,,,,,,,,,
47441,1531.0,,,,,,,,,,,,
47657,837.0,,,,,,,,,,,,
47786,9233.0,,,,,,,,,,,,
47821,837.0,,,,,,,,,,,,
47939,837.0,,,,,,,,,,,,
47993,39923.0,,,,,,,,,,,,
48147,184.0,,,,,,,,,,,,
48161,9233.0,,,,,,,,,,,,
48181,2847.0,,,,,,,,,,,,
48338,9233.0,,,,,,,,,,,,
48403,837.0,,,,,,,,,,,,
48455,569.0,,,,,,,,,,,,
48508,51647.0,,,,,,,,,,,,
48647,7308.0,,,,,,,,,,,,
48753,184.0,,,,,,,,,,,,
49104,184.0,,,,,,,,,,,,
49146,23716.0,,,,,,,,,,,,
49511,837.0,,,,,,,,,,,,
49673,837.0,,,,,,,,,,,,
49804,303.0,,,,,,,,,,,,
50163,2847.0,,,,,,,,,,,,
50164,837.0,,,,,,,,,,,,
50231,19203.0,,,,,,,,,,,,
50369,18854.0,,,,,,,,,,,,
50573,733.0,,,,,,,,,,,,
50646,15858.0,,,,,,,,,,,,
50792,1531.0,,,,,,,,,,,,
50887,303.0,,,,,,,,,,,,
50922,658.0,,,,,,,,,,,,
51143,837.0,,,,,,,,,,,,
51228,837.0,,,,,,,,,,,,
51286,837.0,,,,,,,,,,,,
51466,837.0,,,,,,,,,,,,
51577,3355.0,,,,,,,,,,,,
51691,837.0,,,,,,,,,,,,
51716,1531.0,,,,,,,,,,,,
51834,3355.0,,,,,,,,,,,,
51894,569.0,,,,,,,,,,,,
52052,12247.0,,,,,,,,,,,,
52199,9233.0,,,,,,,,,,,,
52227,837.0,,,,,,,,,,,,
52265,184.0,,,,,,,,,,,,
52419,837.0,,,,,,,,,,,,
52424,303.0,,,,,,,,,,,,
52481,837.0,,,,,,,,,,,,
52630,3716.0,,,,,,,,,,,,
52642,658.0,,,,,,,,,,,,
52651,9561.0,,,,,,,,,,,,
52688,658.0,,,,,,,,,,,,
52943,8873.0,,,,,,,,,,,,
53137,303.0,,,,,,,,,,,,
53149,184.0,,,,,,,,,,,,
53288,837.0,,,,,,,,,,,,
53352,733.0,,,,,,,,,,,,
53455,23716.0,,,,,,,,,,,,
53506,1849.0,,,,,,,,,,,,
53534,184.0,,,,,,,,,,,,
53627,184.0,,,,,,,,,,,,
53677,1153.0,,,,,,,,,,,,
53915,43227.0,,,,,,,,,,,,
54050,3312.0,,,,,,,,,,,,
54099,733.0,,,,,,,,,,,,
54127,9561.0,,,,,,,,,,,,
54384,12455.0,,,,,,,,,,,,
54667,837.0,,,,,,,,,,,,
54798,2847.0,,,,,,,,,,,,
54802,65915.0,,,,,,,,,,,,
54861,569.0,,,,,,,,,,,,
55305,382.0,,,,,,,,,,,,
55373,837.0,,,,,,,,,,,,
55601,837.0,,,,,,,,,,,,
55619,29720.0,,,,,,,,,,,,
55790,28985.0,,,,,,,,,,,,
55800,184.0,,,,,,,,,,,,
56021,34185.0,,,,,,,,,,,,
56141,4394.0,,,,,,,,,,,,
56248,837.0,,,,,,,,,,,,
56572,569.0,,,,,,,,,,,,
56957,303.0,,,,,,,,,,,,
57028,34185.0,,,,,,,,,,,,
57141,63427.0,,,,,,,,,,,,
57184,2847.0,,,,,,,,,,,,
57206,230.0,,,,,,,,,,,,
57297,4762.0,,,,,,,,,,,,
57752,184.0,,,,,,,,,,,,
57955,658.0,,,,,,,,,,,,
58189,437.0,,,,,,,,,,,,
58656,837.0,,,,,,,,,,,,
58748,603.0,,,,,,,,,,,,
59151,303.0,,,,,,,,,,,,
59158,3355.0,,,,,,,,,,,,
59251,569.0,,,,,,,,,,,,
59423,184.0,,,,,,,,,,,,
59721,1531.0,,,,,,,,,,,,
59762,5785.0,,,,,,,,,,,,
59802,28985.0,,,,,,,,,,,,
59948,837.0,,,,,,,,,,,,
59949,837.0,,,,,,,,,,,,
60068,2164.0,,,,,,,,,,,,
60094,437.0,,,,,,,,,,,,
60172,3355.0,,,,,,,,,,,,
60273,569.0,,,,,,,,,,,,
60277,65915.0,,,,,,,,,,,,
60541,837.0,,,,,,,,,,,,
60720,184.0,,,,,,,,,,,,
60822,6700.0,,,,,,,,,,,,
60861,569.0,,,,,,,,,,,,
61057,837.0,,,,,,,,,,,,
61248,837.0,,,,,,,,,,,,
61360,7094.0,,,,,,,,,,,,
61452,184.0,,,,,,,,,,,,
61527,303.0,,,,,,,,,,,,
61549,837.0,,,,,,,,,,,,
61734,837.0,,,,,,,,,,,,
61901,184.0,,,,,,,,,,,,
62124,2648.0,,,,,,,,,,,,
62402,837.0,,,,,,,,,,,,
62423,9233.0,,,,,,,,,,,,
62599,21810.0,,,,,,,,,,,,
62700,303.0,,,,,,,,,,,,
62884,2847.0,,,,,,,,,,,,
62885,303.0,,,,,,,,,,,,
62894,9561.0,,,,,,,,,,,,
62907,569.0,,,,,,,,,,,,
62954,837.0,,,,,,,,,,,,
63083,30115.0,,,,,,,,,,,,
63113,733.0,,,,,,,,,,,,
63367,184.0,,,,,,,,,,,,
63750,5785.0,,,,,,,,,,,,
63840,22286.0,,,,,,,,,,,,
63937,837.0,,,,,,,,,,,,
63989,184.0,,,,,,,,,,,,
63990,16899.0,,,,,,,,,,,,
64005,375.0,,,,,,,,,,,,
64080,2847.0,,,,,,,,,,,,
64175,569.0,,,,,,,,,,,,
64211,30115.0,,,,,,,,,,,,
64251,184.0,,,,,,,,,,,,
64350,303.0,,,,,,,,,,,,
64702,40969.0,,,,,,,,,,,,
64789,837.0,,,,,,,,,,,,
64876,2847.0,,,,,,,,,,,,
64912,1531.0,,,,,,,,,,,,
64938,303.0,,,,,,,,,,,,
65035,303.0,,,,,,,,,,,,
65147,303.0,,,,,,,,,,,,
65209,569.0,,,,,,,,,,,,
65247,2648.0,,,,,,,,,,,,
65395,5785.0,,,,,,,,,,,,
65400,2164.0,,,,,,,,,,,,
65518,733.0,,,,,,,,,,,,
65572,3355.0,,,,,,,,,,,,
65655,14337.0,,,,,,,,,,,,
65982,12858.0,,,,,,,,,,,,
66078,184.0,,,,,,,,,,,,
66165,43227.0,,,,,,,,,,,,
66332,30115.0,,,,,,,,,,,,
66446,837.0,,,,,,,,,,,,
66508,184.0,,,,,,,,,,,,
66897,6521.0,,,,,,,,,,,,
66898,837.0,,,,,,,,,,,,
67549,37188.0,,,,,,,,,,,,
67560,837.0,,,,,,,,,,,,
67669,922.0,,,,,,,,,,,,
67926,5785.0,,,,,,,,,,,,
67982,184.0,,,,,,,,,,,,
68129,184.0,,,,,,,,,,,,
68218,184.0,,,,,,,,,,,,
68325,1531.0,,,,,,,,,,,,
68343,569.0,,,,,,,,,,,,
68684,375.0,,,,,,,,,,,,
68925,9561.0,,,,,,,,,,,,
68955,70742.0,,,,,,,,,,,,
69132,837.0,,,,,,,,,,,,
69324,569.0,,,,,,,,,,,,
69480,837.0,,,,,,,,,,,,
69579,2732.0,,,,,,,,,,,,
69622,733.0,,,,,,,,,,,,
69624,6963.0,,,,,,,,,,,,
69665,184.0,,,,,,,,,,,,
69912,569.0,,,,,,,,,,,,
69947,184.0,,,,,,,,,,,,
69952,9561.0,,,,,,,,,,,,
70103,52444.0,,,,,,,,,,,,
70297,837.0,,,,,,,,,,,,
70323,2089.0,,,,,,,,,,,,
70376,184.0,,,,,,,,,,,,
70607,39654.0,,,,,,,,,,,,
70693,184.0,,,,,,,,,,,,
70962,9052.0,,,,,,,,,,,,
70976,184.0,,,,,,,,,,,,
70998,9561.0,,,,,,,,,,,,
71298,837.0,,,,,,,,,,,,
71358,63241.0,,,,,,,,,,,,
71381,837.0,,,,,,,,,,,,
71582,348.0,,,,,,,,,,,,
71713,1335.0,,,,,,,,,,,,
71759,375.0,,,,,,,,,,,,
71826,837.0,,,,,,,,,,,,
72077,1531.0,,,,,,,,,,,,
72174,3312.0,,,,,,,,,,,,
72350,65915.0,,,,,,,,,,,,
72463,13975.0,,,,,,,,,,,,
72538,569.0,,,,,,,,,,,,
72675,9561.0,,,,,,,,,,,,
72784,184.0,,,,,,,,,,,,
72834,837.0,,,,,,,,,,,,
72955,3312.0,,,,,,,,,,,,
72989,658.0,,,,,,,,,,,,
73063,119.0,,,,,,,,,,,,
73345,19203.0,,,,,,,,,,,,
